id,sent,is_response,is_postal,kind,is_escalation,status,timestamp,sender,status_name,request_id,url_count
651619,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.350881+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235433,3
651876,True,True,False,email,False,resolved,2021-12-13T15:19:06+01:00,Landratsamt München,Anfrage abgeschlossen,235433,3
651620,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.433657+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235434,3
653024,True,True,False,email,False,awaiting_response,2021-12-16T16:52:11+01:00,Landratsamt Neckar-Odenwald-Kreis,Warte auf Antwort,235434,3
653166,True,False,False,email,False,,2021-12-17T11:31:31.757823+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),,235434,3
655533,True,True,False,email,False,resolved,2021-12-29T10:34:47+01:00,Landratsamt Neckar-Odenwald-Kreis,Anfrage abgeschlossen,235434,3
651621,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.438109+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235435,3
651622,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.448868+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235436,3
651623,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.541435+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235437,3
651624,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.542056+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235438,3
651625,True,False,False,email,False,awaiting_response,2021-12-13T12:09:01.556201+01:00,Arne Semsrott (Open Knowledge Foundation Deutschland e.V.),Warte auf Antwort,235439,3
651862,True,True,False,email,False,awaiting_response,2021-12-13T15:01:52+01:00,Landratsamt Neu-Ulm,Warte auf Antwort,235439,3
