year,category,type,co2,note
2015,Heizöl,real,157.568,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2034
2015,Kraftstoffe erneuerbar,real,8.507,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2039
2015,Kraftstoffe fossil,real,347.065,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2044
2015,Nah- und Fernwärme,real,14.824,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2049
2015,Sonstige fossile gesamt,real,89.341,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2054
2015,Strom gesamt,real,542.364,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2059
2015,Gesamt,real,1542.600,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2064
2016,Energieträger erneuerbar,real,3.787,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2020
2016,Flugtreibstoff,real,0,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2025
2016,Gas fossil gesamt,real,430.551,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2030
2016,Heizöl,real,157.909,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2035
2016,Kraftstoffe erneuerbar,real,7.612,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2040
2016,Kraftstoffe fossil,real,352.994,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2045
2016,Nah- und Fernwärme,real,14.617,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2050
2016,Sonstige fossile gesamt,real,87.466,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2055
2016,Strom gesamt,real,454.562,source: https://www.klimaschutz-planer.de/ajax.php?action=newWindow&pageID=bilanz_bericht_ausgabe&eparam=commune%3D034040000000%26year%3D2060
2016,Gesamt,real,1509.498,last_emissions
2018,Einwohner,Einwohner,169108,source: https://www.osnabrueck.de/start/leitartikel/news/einwohnerzahl-der-stadt-osnabrueck-erreicht-ende-2018-neuen-hoechststand/ 
