year,category,type,value,note
1990,Gesamt,real,12130,
2008,Gesamt,real,10250,
2015,Gesamt,real,10000,last_emissions
2020,Gesamt,geplant,9700,estimated from ifu
2019,Einwohner,Einwohner,1061000,
2025,Gesamt,geplant,7500,
2030,Gesamt,geplant,6060,
