year,category,type,co2,note
1989,Gesamt,real,2893,
1992,Gesamt,real,1854,
1998,Gesamt,real,2003,
2002,Gesamt,real,1904,
2005,Gesamt,real,2200,
2011,Gesamt,real,1879,
2012,Gesamt,real,1830,
2013,Gesamt,real,1780,
2014,Gesamt,real,1830,
2015,Gesamt,real,1681,
2016,Gesamt,real,1656,
2017,Gesamt,real,1632,last_emissions
2030,Gesamt,geplant,1446
2018,Einwohner,Einwohner,247237,Quelle:Wikipedia
